gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime
275,1,2015,2016-01-02 19:00:00,89,84,2,1,6.836,2.232,932,0,0
276,1,2015,2016-01-02 19:00:00,79,74,1,0,5.291,2.772,1.937,0,0
277,1,2015,2016-01-02 19:00:00,77,71,3,1,4.432,4.303,1.265,1,0
278,1,2015,2016-01-02 21:30:00,90,88,1,2,4.296,3.301,2.403,0,0
279,1,2015,2016-01-03 17:30:00,78,80,0,3,296,1.141,8.563,0,1
280,1,2015,2016-01-03 20:00:00,72,82,1,1,3.064,3.709,3.227,1,1
281,1,2015,2016-01-12 23:45:00,86,89,3,3,2.452,2.462,5.086,1,2
282,1,2015,2016-01-12 23:45:00,71,78,1,0,2.757,4.363,288,0,0
283,1,2015,2016-01-12 23:45:00,73,81,1,3,1.899,3.365,4.736,1,0
284,1,2015,2016-01-13 23:45:00,74,90,2,0,8.237,1.591,172,1,0
285,1,2015,2016-01-13 23:45:00,85,79,3,1,6.995,2.532,473,0,0
286,1,2015,2016-01-13 23:45:00,84,77,2,4,471,1.615,7.914,2,1
287,1,2015,2016-01-13 23:45:00,80,76,2,2,5.706,2.724,157,1,1
288,1,2015,2016-01-13 23:45:00,88,72,0,0,6.669,2.516,815,0,0
289,1,2015,2016-01-14 00:00:00,87,83,3,3,1.365,1.982,6.653,2,2
290,1,2015,2016-01-14 00:00:00,82,75,0,1,5.268,3.044,1.688,0,0
291,1,2015,2016-01-16 16:45:00,82,77,4,1,7.545,1.805,65,1,1
292,1,2015,2016-01-16 19:00:00,88,78,4,0,6.974,2.173,853,2,0
293,1,2015,2016-01-16 19:00:00,86,81,2,1,566,2.425,1.915,2,0
294,1,2015,2016-01-16 19:00:00,74,76,3,0,7.089,2.237,674,2,0
295,1,2015,2016-01-16 19:00:00,80,72,3,3,6.084,2.338,1.578,0,0
296,1,2015,2016-01-16 19:00:00,73,79,3,0,8.615,1.054,331,1,0
297,1,2015,2016-01-16 21:30:00,71,75,1,1,51,1.399,8.091,0,1
298,1,2015,2016-01-17 18:05:00,87,89,0,1,379,3.618,2.592,0,0
299,1,2015,2016-01-17 20:15:00,85,83,0,0,2.667,4.343,299,0,0
300,1,2015,2016-01-19 00:00:00,84,90,1,0,2.495,4.633,2.872,1,0
301,1,2015,2016-01-23 16:45:00,79,87,4,5,2.233,3.216,4.551,2,1
